#    L    TT             EE             BB             TE          
   110   0.293498E+04   0.917446E+00   0.580633E-04  -0.294659E+02
   111   0.296694E+04   0.929789E+00   0.574923E-04  -0.300990E+02
   112   0.299905E+04   0.941819E+00   0.569046E-04  -0.307275E+02
   113   0.303138E+04   0.953536E+00   0.563009E-04  -0.313500E+02
   114   0.306378E+04   0.964866E+00   0.556820E-04  -0.319655E+02
   115   0.309641E+04   0.975956E+00   0.550488E-04  -0.325742E+02
   116   0.312904E+04   0.986584E+00   0.544021E-04  -0.331751E+02
   117   0.316197E+04   0.996825E+00   0.537426E-04  -0.337677E+02
   118   0.319504E+04   0.100683E+01   0.530712E-04  -0.343524E+02
   119   0.322812E+04   0.101644E+01   0.523887E-04  -0.349272E+02
   120   0.326135E+04   0.102552E+01   0.516959E-04  -0.354919E+02
   121   0.329457E+04   0.103435E+01   0.509936E-04  -0.360465E+02
   122   0.332788E+04   0.104265E+01   0.502826E-04  -0.365903E+02
   123   0.336126E+04   0.105049E+01   0.495638E-04  -0.371232E+02
   124   0.339471E+04   0.105794E+01   0.488378E-04  -0.376423E+02
   125   0.342817E+04   0.106493E+01   0.481056E-04  -0.381496E+02
   126   0.346171E+04   0.107152E+01   0.473680E-04  -0.386445E+02
   127   0.349525E+04   0.107758E+01   0.466257E-04  -0.391262E+02
   128   0.352879E+04   0.108326E+01   0.458795E-04  -0.395939E+02
   129   0.356241E+04   0.108839E+01   0.451304E-04  -0.400468E+02
   130   0.359604E+04   0.109299E+01   0.443790E-04  -0.404841E+02
   131   0.362967E+04   0.109719E+01   0.436261E-04  -0.409073E+02
   132   0.366337E+04   0.110086E+01   0.428724E-04  -0.413135E+02
   133   0.369701E+04   0.110407E+01   0.421185E-04  -0.417049E+02
   134   0.373065E+04   0.110682E+01   0.413650E-04  -0.420771E+02
   135   0.376429E+04   0.110903E+01   0.406124E-04  -0.424330E+02
   136   0.379779E+04   0.111070E+01   0.398614E-04  -0.427690E+02
   137   0.383129E+04   0.111191E+01   0.391126E-04  -0.430873E+02
   138   0.386472E+04   0.111259E+01   0.383665E-04  -0.433864E+02
   139   0.389793E+04   0.111289E+01   0.376237E-04  -0.436657E+02
   140   0.393122E+04   0.111257E+01   0.368849E-04  -0.439259E+02
   141   0.396428E+04   0.111173E+01   0.361507E-04  -0.441648E+02
   142   0.399735E+04   0.111042E+01   0.354215E-04  -0.443832E+02
   143   0.403035E+04   0.110865E+01   0.346981E-04  -0.445811E+02
   144   0.406313E+04   0.110636E+01   0.339810E-04  -0.447577E+02
   145   0.409576E+04   0.110368E+01   0.332708E-04  -0.449123E+02
   146   0.412847E+04   0.110040E+01   0.325681E-04  -0.450451E+02
   147   0.416081E+04   0.109673E+01   0.318736E-04  -0.451544E+02
   148   0.419300E+04   0.109253E+01   0.311877E-04  -0.452418E+02
   149   0.422512E+04   0.108788E+01   0.305112E-04  -0.453059E+02
   150   0.425695E+04   0.108285E+01   0.298445E-04  -0.453445E+02
   151   0.428863E+04   0.107736E+01   0.291882E-04  -0.453604E+02
   152   0.432001E+04   0.107135E+01   0.285426E-04  -0.453523E+02
   153   0.435124E+04   0.106496E+01   0.279079E-04  -0.453180E+02
   154   0.438225E+04   0.105819E+01   0.272841E-04  -0.452595E+02
   155   0.441303E+04   0.105104E+01   0.266714E-04  -0.451762E+02
   156   0.444344E+04   0.104352E+01   0.260700E-04  -0.450681E+02
   157   0.447376E+04   0.103563E+01   0.254802E-04  -0.449337E+02
   158   0.450378E+04   0.102743E+01   0.249019E-04  -0.447737E+02
   159   0.453349E+04   0.101879E+01   0.243355E-04  -0.445881E+02
   160   0.456298E+04   0.100986E+01   0.237810E-04  -0.443754E+02
   161   0.459222E+04   0.100070E+01   0.232386E-04  -0.441371E+02
   162   0.462116E+04   0.991171E+00   0.227085E-04  -0.438732E+02
   163   0.464993E+04   0.981351E+00   0.221909E-04  -0.435821E+02
   164   0.467824E+04   0.971312E+00   0.216859E-04  -0.432655E+02
   165   0.470639E+04   0.960982E+00   0.211937E-04  -0.429209E+02
   166   0.473422E+04   0.950510E+00   0.207144E-04  -0.425500E+02
   167   0.476181E+04   0.939674E+00   0.202482E-04  -0.421534E+02
   168   0.478893E+04   0.928847E+00   0.197953E-04  -0.417289E+02
   169   0.481574E+04   0.917732E+00   0.193559E-04  -0.412766E+02
   170   0.484222E+04   0.906554E+00   0.189300E-04  -0.407978E+02
   171   0.486823E+04   0.895313E+00   0.185179E-04  -0.402903E+02
   172   0.489385E+04   0.883937E+00   0.181197E-04  -0.397557E+02
   173   0.491899E+04   0.872425E+00   0.177357E-04  -0.391938E+02
   174   0.494381E+04   0.861078E+00   0.173658E-04  -0.386048E+02
   175   0.496822E+04   0.849597E+00   0.170104E-04  -0.379878E+02
   176   0.499209E+04   0.838208E+00   0.166695E-04  -0.373429E+02
   177   0.501555E+04   0.826836E+00   0.163429E-04  -0.366716E+02
   178   0.503853E+04   0.815708E+00   0.160304E-04  -0.359723E+02
   179   0.506104E+04   0.804525E+00   0.157317E-04  -0.352453E+02
   180   0.508323E+04   0.793514E+00   0.154464E-04  -0.344918E+02
   181   0.510487E+04   0.782675E+00   0.151744E-04  -0.337121E+02
   182   0.512603E+04   0.772083E+00   0.149154E-04  -0.329047E+02
   183   0.514665E+04   0.761666E+00   0.146691E-04  -0.320710E+02
   184   0.516688E+04   0.751500E+00   0.144352E-04  -0.312103E+02
   185   0.518663E+04   0.741734E+00   0.142135E-04  -0.303250E+02
   186   0.520554E+04   0.732228E+00   0.140037E-04  -0.294121E+02
   187   0.522429E+04   0.723125E+00   0.138055E-04  -0.284731E+02
   188   0.524249E+04   0.714412E+00   0.136187E-04  -0.275095E+02
   189   0.526007E+04   0.706126E+00   0.134430E-04  -0.265199E+02
   190   0.527749E+04   0.698322E+00   0.132782E-04  -0.255065E+02
   191   0.529399E+04   0.691023E+00   0.131239E-04  -0.244664E+02
   192   0.531011E+04   0.684252E+00   0.129799E-04  -0.234019E+02
   193   0.532561E+04   0.678055E+00   0.128460E-04  -0.223145E+02
   194   0.534073E+04   0.672464E+00   0.127218E-04  -0.212019E+02
   195   0.535523E+04   0.667517E+00   0.126071E-04  -0.200665E+02
   196   0.536913E+04   0.663252E+00   0.125016E-04  -0.189075E+02
   197   0.538256E+04   0.659715E+00   0.124051E-04  -0.177265E+02
   198   0.539546E+04   0.656930E+00   0.123173E-04  -0.165228E+02
   199   0.540783E+04   0.654935E+00   0.122379E-04  -0.152971E+02
   200   0.541967E+04   0.653762E+00   0.121666E-04  -0.140502E+02
   201   0.543090E+04   0.653471E+00   0.121033E-04  -0.127813E+02
   202   0.544159E+04   0.654068E+00   0.120476E-04  -0.114921E+02
   203   0.545169E+04   0.655614E+00   0.119993E-04  -0.101818E+02
   204   0.546110E+04   0.658129E+00   0.119581E-04  -0.885335E+01
   205   0.546999E+04   0.661657E+00   0.119238E-04  -0.750458E+01
   206   0.547820E+04   0.666236E+00   0.118961E-04  -0.613676E+01
   207   0.548588E+04   0.671887E+00   0.118749E-04  -0.475038E+01
   208   0.549280E+04   0.678661E+00   0.118597E-04  -0.334596E+01
   209   0.549913E+04   0.686580E+00   0.118505E-04  -0.192391E+01
   210   0.550485E+04   0.695695E+00   0.118468E-04  -0.485148E+00
   211   0.550997E+04   0.706036E+00   0.118486E-04   0.970255E+00
   212   0.551434E+04   0.717631E+00   0.118554E-04   0.244134E+01
   213   0.551818E+04   0.730526E+00   0.118672E-04   0.392812E+01
   214   0.552135E+04   0.744711E+00   0.118836E-04   0.542937E+01
   215   0.552392E+04   0.760379E+00   0.119043E-04   0.694433E+01
   216   0.552582E+04   0.777344E+00   0.119292E-04   0.847349E+01
   217   0.552719E+04   0.795762E+00   0.119579E-04   0.100148E+02
   218   0.552788E+04   0.815632E+00   0.119903E-04   0.115685E+02
   219   0.552798E+04   0.836953E+00   0.120260E-04   0.131356E+02
   220   0.552748E+04   0.859873E+00   0.120649E-04   0.147114E+02
   221   0.552638E+04   0.884318E+00   0.121066E-04   0.162984E+02
   222   0.552468E+04   0.910435E+00   0.121510E-04   0.178948E+02
   223   0.552224E+04   0.938150E+00   0.121977E-04   0.195015E+02
   224   0.551935E+04   0.967462E+00   0.122465E-04   0.211147E+02
   225   0.551579E+04   0.998519E+00   0.122972E-04   0.227374E+02
   226   0.551164E+04   0.103132E+01   0.123495E-04   0.243658E+02
   227   0.550681E+04   0.106587E+01   0.124031E-04   0.260014E+02
   228   0.550146E+04   0.110215E+01   0.124579E-04   0.276427E+02
   229   0.549552E+04   0.114026E+01   0.125135E-04   0.292882E+02
   230   0.548891E+04   0.118018E+01   0.125697E-04   0.309385E+02
   231   0.548163E+04   0.122199E+01   0.126263E-04   0.325930E+02
   232   0.547384E+04   0.126562E+01   0.126830E-04   0.342501E+02
   233   0.546545E+04   0.131129E+01   0.127396E-04   0.359083E+02
   234   0.545631E+04   0.135884E+01   0.127957E-04   0.375683E+02
   235   0.544666E+04   0.140836E+01   0.128512E-04   0.392287E+02
   236   0.543635E+04   0.145983E+01   0.129059E-04   0.408893E+02
   237   0.542544E+04   0.151335E+01   0.129593E-04   0.425488E+02
   238   0.541394E+04   0.156897E+01   0.130114E-04   0.442070E+02
   239   0.540192E+04   0.162655E+01   0.130618E-04   0.458632E+02
   240   0.538917E+04   0.168617E+01   0.131103E-04   0.475151E+02
   241   0.537597E+04   0.174796E+01   0.131566E-04   0.491636E+02
   242   0.536218E+04   0.181179E+01   0.132006E-04   0.508077E+02
   243   0.534781E+04   0.187780E+01   0.132419E-04   0.524460E+02
   244   0.533285E+04   0.194592E+01   0.132803E-04   0.540793E+02
   245   0.531729E+04   0.201621E+01   0.133155E-04   0.557044E+02
   246   0.530123E+04   0.208869E+01   0.133473E-04   0.573229E+02
   247   0.528465E+04   0.216327E+01   0.133754E-04   0.589326E+02
   248   0.526748E+04   0.224032E+01   0.133997E-04   0.605334E+02
   249   0.524987E+04   0.231933E+01   0.134198E-04   0.621245E+02
   250   0.523168E+04   0.240073E+01   0.134354E-04   0.637045E+02
   251   0.521305E+04   0.248424E+01   0.134465E-04   0.652740E+02
   252   0.519376E+04   0.257007E+01   0.134530E-04   0.668315E+02
   253   0.517418E+04   0.265799E+01   0.134550E-04   0.683757E+02
   254   0.515402E+04   0.274830E+01   0.134527E-04   0.699066E+02
   255   0.513335E+04   0.284070E+01   0.134460E-04   0.714240E+02
   256   0.511224E+04   0.293555E+01   0.134352E-04   0.729281E+02
   257   0.509069E+04   0.303241E+01   0.134203E-04   0.744107E+02
   258   0.506864E+04   0.313165E+01   0.134015E-04   0.758845E+02
   259   0.504615E+04   0.323311E+01   0.133787E-04   0.773345E+02
   260   0.502331E+04   0.333678E+01   0.133522E-04   0.787757E+02
   261   0.499995E+04   0.344260E+01   0.133220E-04   0.801858E+02
   262   0.497609E+04   0.355077E+01   0.132881E-04   0.815871E+02
   263   0.495209E+04   0.366108E+01   0.132508E-04   0.829722E+02
   264   0.492751E+04   0.377359E+01   0.132101E-04   0.843337E+02
   265   0.490243E+04   0.388823E+01   0.131661E-04   0.856641E+02
   266   0.487706E+04   0.400522E+01   0.131188E-04   0.869857E+02
   267   0.485119E+04   0.412417E+01   0.130685E-04   0.882763E+02
   268   0.482496E+04   0.424547E+01   0.130152E-04   0.895508E+02
   269   0.479822E+04   0.436880E+01   0.129589E-04   0.908017E+02
   270   0.477128E+04   0.449424E+01   0.128999E-04   0.920291E+02
   271   0.474391E+04   0.462171E+01   0.128381E-04   0.932330E+02
   272   0.471633E+04   0.475151E+01   0.127737E-04   0.944059E+02
   273   0.468832E+04   0.488303E+01   0.127068E-04   0.955627E+02
   274   0.466004E+04   0.501688E+01   0.126374E-04   0.966811E+02
   275   0.463140E+04   0.515251E+01   0.125658E-04   0.977836E+02
   276   0.460256E+04   0.529016E+01   0.124919E-04   0.988477E+02
   277   0.457328E+04   0.542982E+01   0.124158E-04   0.998957E+02
   278   0.454381E+04   0.557141E+01   0.123378E-04   0.100906E+03
   279   0.451406E+04   0.571485E+01   0.122578E-04   0.101884E+03
   280   0.448403E+04   0.586015E+01   0.121759E-04   0.102847E+03
   281   0.445387E+04   0.600736E+01   0.120923E-04   0.103772E+03
   282   0.442328E+04   0.615620E+01   0.120071E-04   0.104666E+03
   283   0.439257E+04   0.630688E+01   0.119203E-04   0.105529E+03
   284   0.436166E+04   0.645932E+01   0.118321E-04   0.106362E+03
   285   0.433055E+04   0.661351E+01   0.117425E-04   0.107163E+03
   286   0.429916E+04   0.676932E+01   0.116517E-04   0.107927E+03
   287   0.426757E+04   0.692672E+01   0.115597E-04   0.108667E+03
   288   0.423585E+04   0.708573E+01   0.114667E-04   0.109369E+03
   289   0.420394E+04   0.724626E+01   0.113727E-04   0.110040E+03
   290   0.417190E+04   0.740816E+01   0.112778E-04   0.110680E+03
   291   0.413974E+04   0.757216E+01   0.111822E-04   0.111275E+03
   292   0.410715E+04   0.773716E+01   0.110858E-04   0.111847E+03
   293   0.407474E+04   0.790277E+01   0.109890E-04   0.112373E+03
   294   0.404206E+04   0.807049E+01   0.108916E-04   0.112877E+03
   295   0.400948E+04   0.823881E+01   0.107939E-04   0.113334E+03
   296   0.397663E+04   0.840922E+01   0.106958E-04   0.113761E+03
   297   0.394373E+04   0.857949E+01   0.105976E-04   0.114158E+03
   298   0.391063E+04   0.875184E+01   0.104993E-04   0.114509E+03
   299   0.387756E+04   0.892554E+01   0.104011E-04   0.114822E+03
   300   0.384437E+04   0.909908E+01   0.103029E-04   0.115097E+03
   301   0.381114E+04   0.927395E+01   0.102049E-04   0.115341E+03
   302   0.377793E+04   0.944941E+01   0.101072E-04   0.115555E+03
   303   0.374468E+04   0.962619E+01   0.100098E-04   0.115724E+03
   304   0.371138E+04   0.980431E+01   0.991272E-05   0.115847E+03
   305   0.367810E+04   0.998226E+01   0.981603E-05   0.115940E+03
   306   0.364478E+04   0.101608E+02   0.971977E-05   0.115996E+03
   307   0.361149E+04   0.103399E+02   0.962399E-05   0.116006E+03
   308   0.357823E+04   0.105211E+02   0.952873E-05   0.115994E+03
   309   0.354507E+04   0.107013E+02   0.943404E-05   0.115929E+03
   310   0.351186E+04   0.108814E+02   0.933996E-05   0.115834E+03
   311   0.347875E+04   0.110636E+02   0.924654E-05   0.115695E+03
   312   0.344574E+04   0.112448E+02   0.915382E-05   0.115525E+03
